Hole,Par,FW,Dist,Putts,Score
1,4,1,260,2,4
2,5,0,NR,3,7
3,3,-1,NA,2,3
4,4,0,160,2,5
5,4,0,NR,2,7
6,4,0,177,3,5
7,4,0,190,1,4
8,5,0,NR,1,6
9,3,-1,140,2,4
10,4,0,NR,2,6
11,4,0,NR,2,6
12,4,1,185,2,5
13,4,1,185,2,5
14,3,-1,NR,2,4
15,3,-1,NR,2,4
16,5,1,165,2,6
17,4,0,NR,3,6
18,5,0,200,2,6
